agent,smoothing_window,source_log,episodes,final_reward_smooth,best_reward_smooth,final_progress_smooth,best_progress_smooth,avg_steps,runs,total_training_seconds,avg_seconds_per_episode
DQN,100,DQN_seed_42_20260609_202847.csv,5000,327.45841696,338.64221556000007,37.62544175,38.823321549999996,479.8782,1,35583.322778,7.1166645556
DoubleDQN,100,DoubleDQN_seed_42_20260609_095332.csv,5118,314.72963254,349.94398591,36.44876326,39.978798530000006,476.93395857756934,3,39449.438825000005,7.707979449980462
PPO,100,PPO_seed_42_20260609_103223.csv,5000,143.39430040000002,187.84738868,18.95052997,23.583038849999998,447.2656,1,15930.991738,3.1861983476
