episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
50,DoubleDQN,42,115.577032,248.889859,399,False,44,283,15.547703,29.787986,no_progress,410.338509,0.557741,0.050000,,,
51,DoubleDQN,42,183.215548,253.130141,500,False,66,283,23.321555,30.212014,max_steps,418.131160,0.592500,0.050000,,,
52,DoubleDQN,42,402.296820,253.483498,500,False,128,283,45.229682,30.247350,max_steps,425.840463,0.571462,0.050000,,,
53,DoubleDQN,42,324.558304,269.737915,500,False,106,283,37.455830,31.872792,max_steps,433.733319,0.611017,0.050000,,,
54,DoubleDQN,42,299.823322,281.398693,500,False,99,283,34.982332,33.038869,max_steps,441.397583,0.559129,0.050000,,,
55,DoubleDQN,42,310.424028,292.352756,500,False,102,283,36.042403,34.134276,max_steps,449.114856,0.614287,0.050000,,,
56,DoubleDQN,42,303.356890,291.999399,500,False,100,283,35.335689,34.098940,max_steps,456.783718,0.591372,0.050000,,,
57,DoubleDQN,42,317.491166,291.292686,500,False,104,283,36.749117,34.028269,max_steps,464.529720,0.596164,0.050000,,,
58,DoubleDQN,42,321.024735,294.826254,500,False,105,283,37.102473,34.381625,max_steps,472.674572,0.588407,0.050000,,,
59,DoubleDQN,42,349.293286,292.706113,500,False,113,283,39.929329,34.169611,max_steps,481.102597,0.573747,0.050000,,,
60,DoubleDQN,42,292.756184,310.424028,500,False,97,283,34.275618,36.042403,max_steps,490.108254,0.572832,0.050000,,,
61,DoubleDQN,42,218.551237,313.957597,500,False,76,283,26.855124,36.395760,max_steps,500.093008,0.586721,0.050000,,,
62,DoubleDQN,42,232.685512,296.996466,500,False,80,283,28.268551,34.699647,max_steps,511.018331,0.576944,0.050000,,,
63,DoubleDQN,42,324.558304,296.996466,500,False,106,283,37.455830,34.699647,max_steps,519.984738,0.556517,0.050000,,,
64,DoubleDQN,42,366.961131,303.710247,500,False,118,283,41.696113,35.371025,max_steps,529.620836,0.586637,0.050000,,,
65,DoubleDQN,42,363.427562,309.010601,500,False,117,283,41.342756,35.901060,max_steps,538.506740,0.571835,0.050000,,,
66,DoubleDQN,42,335.159011,312.190813,500,False,109,283,38.515901,36.219081,max_steps,546.728475,0.580826,0.050000,,,
67,DoubleDQN,42,144.346290,294.876325,500,False,55,283,19.434629,34.487633,max_steps,554.880527,0.592064,0.050000,,,
68,DoubleDQN,42,243.286219,287.102473,500,False,83,283,29.328622,33.710247,max_steps,562.795913,0.601817,0.050000,,,
69,DoubleDQN,42,204.416961,272.614841,500,False,72,283,25.441696,32.261484,max_steps,570.806356,0.563206,0.050000,,,
70,DoubleDQN,42,275.088339,270.848057,500,False,92,283,32.508834,32.084806,max_steps,579.031670,0.574207,0.050000,,,
71,DoubleDQN,42,150.312721,264.024205,405,False,54,283,19.081272,31.307420,no_progress,585.654689,0.586940,0.050000,,,
72,DoubleDQN,42,257.420495,266.497703,500,False,87,283,30.742049,31.554770,max_steps,593.834382,0.621070,0.050000,,,
73,DoubleDQN,42,359.893993,270.031272,500,False,116,283,40.989399,31.908127,max_steps,601.840384,0.568323,0.050000,,,
74,DoubleDQN,42,345.759717,267.911131,500,False,112,283,39.575972,31.696113,max_steps,609.619130,0.626332,0.050000,,,
75,DoubleDQN,42,370.494700,268.617845,500,False,119,283,42.049470,31.766784,max_steps,617.622742,0.608406,0.050000,,,
76,DoubleDQN,42,352.826855,270.384629,500,False,114,283,40.282686,31.943463,max_steps,626.255110,0.613218,0.050000,,,
77,DoubleDQN,42,292.756184,285.225618,500,False,97,283,34.275618,33.427562,max_steps,634.078768,0.639189,0.050000,,,
78,DoubleDQN,42,253.886926,286.285689,500,False,86,283,30.388693,33.533569,max_steps,643.634648,0.590918,0.050000,,,
79,DoubleDQN,42,328.091873,298.653180,500,False,107,283,37.809187,34.770318,max_steps,652.089861,0.625132,0.050000,,,
80,DoubleDQN,42,278.621908,299.006537,500,False,93,283,32.862191,34.805654,max_steps,659.738948,0.573370,0.050000,,,
81,DoubleDQN,42,363.427562,320.318021,500,False,117,283,41.342756,37.031802,max_steps,667.673622,0.586383,0.050000,,,
82,DoubleDQN,42,296.289753,324.204947,500,False,98,283,34.628975,37.420495,max_steps,675.527237,0.636043,0.050000,,,
83,DoubleDQN,42,310.424028,319.257951,500,False,102,283,36.042403,36.925795,max_steps,683.358266,0.598591,0.050000,,,
84,DoubleDQN,42,222.084806,306.890459,500,False,77,283,27.208481,35.689046,max_steps,691.197454,0.596127,0.050000,,,
85,DoubleDQN,42,296.289753,299.469965,500,False,98,283,34.628975,34.946996,max_steps,699.099574,0.605265,0.050000,,,
86,DoubleDQN,42,331.625442,297.349823,500,False,108,283,38.162544,34.734982,max_steps,706.844628,0.588231,0.050000,,,
87,DoubleDQN,42,384.628975,306.537102,500,False,123,283,43.462898,35.653710,max_steps,714.734350,0.581429,0.050000,,,
88,DoubleDQN,42,257.420495,306.890459,500,False,87,283,30.742049,35.689046,max_steps,722.484123,0.608077,0.050000,,,
89,DoubleDQN,42,359.893993,310.070671,500,False,116,283,40.989399,36.007067,max_steps,730.314824,0.629692,0.050000,,,
90,DoubleDQN,42,-1.565724,282.051908,157,False,4,283,1.413428,32.862191,no_progress,732.728635,0.553169,0.050000,,,
91,DoubleDQN,42,243.286219,270.037774,500,False,83,283,29.328622,31.660777,max_steps,740.515104,0.571788,0.050000,,,
92,DoubleDQN,42,176.148410,258.023640,500,False,64,283,22.614841,30.459364,max_steps,748.440475,0.590745,0.050000,,,
93,DoubleDQN,42,186.749117,245.656148,500,False,67,283,23.674912,29.222615,max_steps,756.288502,0.604195,0.050000,,,
94,DoubleDQN,42,349.293286,258.376996,500,False,113,283,39.929329,30.494700,max_steps,764.200828,0.614965,0.050000,,,
95,DoubleDQN,42,-5.032862,228.244735,121,False,2,283,0.706714,27.102473,no_progress,766.122799,0.536177,0.050000,,,
96,DoubleDQN,42,197.349823,214.817173,500,False,70,283,24.734982,25.759717,max_steps,774.015311,0.594761,0.050000,,,
97,DoubleDQN,42,289.222615,205.276537,500,False,96,283,33.922261,24.805654,max_steps,781.913023,0.598739,0.050000,,,
98,DoubleDQN,42,5.334982,180.067986,194,False,7,283,2.473498,21.978799,no_progress,785.202475,0.587203,0.050000,,,
99,DoubleDQN,42,-5.032862,143.575300,121,False,2,283,0.706714,17.950530,no_progress,787.129264,0.653807,0.050000,,,
100,DoubleDQN,42,236.219081,167.353781,500,False,81,283,28.621908,20.671378,max_steps,795.089549,0.580295,0.050000,,,
101,DoubleDQN,42,169.081272,159.933286,500,False,62,283,21.908127,19.929329,max_steps,803.141896,0.548258,0.050000,,,
102,DoubleDQN,42,289.222615,171.240707,500,False,96,283,33.922261,21.060071,max_steps,811.061970,0.624028,0.050000,,,
103,DoubleDQN,42,299.823322,182.548127,500,False,99,283,34.982332,22.190813,max_steps,818.988026,0.578462,0.050000,,,
104,DoubleDQN,42,93.742049,156.993004,370,False,37,283,13.074205,19.505300,no_progress,824.887409,0.563792,0.050000,,,
105,DoubleDQN,42,207.950530,178.291343,500,False,73,283,25.795053,22.014134,max_steps,832.947554,0.577528,0.050000,,,
106,DoubleDQN,42,289.222615,187.478622,500,False,96,283,33.922261,22.932862,max_steps,840.860992,0.588146,0.050000,,,
107,DoubleDQN,42,78.608481,166.417208,486,False,36,283,12.720848,20.812721,no_progress,848.542736,0.578860,0.050000,,,
108,DoubleDQN,42,211.484099,187.032120,500,False,74,283,26.148410,23.180212,max_steps,856.402713,0.576887,0.050000,,,
109,DoubleDQN,42,313.957597,218.931166,500,False,103,283,36.395760,26.749117,max_steps,864.343037,0.562385,0.050000,,,
110,DoubleDQN,42,246.819788,219.991237,500,False,84,283,29.681979,26.855124,max_steps,872.248020,0.581388,0.050000,,,
111,DoubleDQN,42,381.095406,241.192650,500,False,122,283,43.109541,28.975265,max_steps,880.365218,0.598638,0.050000,,,
112,DoubleDQN,42,317.491166,244.019505,500,False,104,283,36.749117,29.257951,max_steps,888.409281,0.635152,0.050000,,,
113,DoubleDQN,42,377.561837,251.793357,500,False,121,283,42.756184,30.035336,max_steps,896.400988,0.604586,0.050000,,,
114,DoubleDQN,42,285.689046,270.988057,500,False,95,283,33.568905,32.084806,max_steps,904.256510,0.594166,0.050000,,,
115,DoubleDQN,42,335.159011,283.708905,500,False,109,283,38.515901,33.356890,max_steps,912.143800,0.647501,0.050000,,,
116,DoubleDQN,42,384.628975,293.249541,500,False,123,283,43.462898,34.310954,max_steps,920.110077,0.621390,0.050000,,,
117,DoubleDQN,42,352.826855,320.671378,500,False,114,283,40.282686,37.067138,max_steps,927.975114,0.634370,0.050000,,,
118,DoubleDQN,42,162.014134,315.724382,500,False,60,283,21.201413,36.572438,max_steps,936.006289,0.625756,0.050000,,,
119,DoubleDQN,42,306.890459,315.017668,500,False,101,283,35.689046,36.501767,max_steps,943.918664,0.641695,0.050000,,,
120,DoubleDQN,42,257.420495,316.077739,500,False,87,283,30.742049,36.607774,max_steps,951.784307,0.612439,0.050000,,,
121,DoubleDQN,42,-5.032862,277.464912,121,False,2,283,0.706714,32.367491,no_progress,959.821814,0.552168,0.050000,,,
122,DoubleDQN,42,-5.032862,245.212509,121,False,2,283,0.706714,28.763251,no_progress,961.573626,0.655966,0.050000,,,
123,DoubleDQN,42,338.692580,241.325583,500,False,110,283,38.869258,28.374558,max_steps,969.503468,0.611774,0.050000,,,
124,DoubleDQN,42,313.957597,244.152438,500,False,103,283,36.395760,28.657244,max_steps,979.217049,0.626048,0.050000,,,
125,DoubleDQN,42,278.621908,238.498728,500,False,93,283,32.862191,28.091873,max_steps,987.501904,0.599359,0.050000,,,
126,DoubleDQN,42,229.151943,222.951025,500,False,79,283,27.915194,26.537102,max_steps,995.722536,0.635224,0.050000,,,
127,DoubleDQN,42,215.017668,209.170106,500,False,75,283,26.501767,25.159011,max_steps,1003.896813,0.639913,0.050000,,,
128,DoubleDQN,42,253.886926,218.357385,500,False,86,283,30.388693,26.077739,max_steps,1012.108957,0.625109,0.050000,,,
129,DoubleDQN,42,338.692580,221.537597,500,False,110,283,38.869258,26.395760,max_steps,1020.262203,0.621395,0.050000,,,
130,DoubleDQN,42,246.819788,220.477527,500,False,84,283,29.681979,26.289753,max_steps,1028.460758,0.587869,0.050000,,,
131,DoubleDQN,42,313.957597,252.376572,500,False,103,283,36.395760,29.858657,max_steps,1036.604303,0.597895,0.050000,,,
132,DoubleDQN,42,370.494700,289.929329,500,False,119,283,42.049470,33.992933,max_steps,1044.712561,0.590364,0.050000,,,
133,DoubleDQN,42,41.405654,260.200636,434,False,24,283,8.480565,30.954064,no_progress,1051.682292,0.597883,0.050000,,,
134,DoubleDQN,42,313.957597,260.200636,500,False,103,283,36.395760,30.954064,max_steps,1059.754577,0.591034,0.050000,,,
135,DoubleDQN,42,377.561837,270.094629,500,False,121,283,42.756184,31.943463,max_steps,1067.829216,0.579211,0.050000,,,
136,DoubleDQN,42,405.830389,287.762473,500,False,129,283,45.583039,33.710247,max_steps,1075.835047,0.601916,0.050000,,,
137,DoubleDQN,42,356.360424,301.896749,500,False,115,283,40.636042,35.123675,max_steps,1083.837974,0.618393,0.050000,,,
138,DoubleDQN,42,363.427562,312.850813,500,False,117,283,41.342756,36.219081,max_steps,1092.001054,0.598476,0.050000,,,
139,DoubleDQN,42,324.558304,311.437385,500,False,106,283,37.455830,36.077739,max_steps,1100.030685,0.641045,0.050000,,,
140,DoubleDQN,42,324.558304,319.211237,500,False,106,283,37.455830,36.855124,max_steps,1108.390150,0.654572,0.050000,,,
141,DoubleDQN,42,253.886926,313.204170,500,False,86,283,30.388693,36.254417,max_steps,1121.566443,0.631569,0.050000,,,
142,DoubleDQN,42,324.558304,308.610530,500,False,106,283,37.455830,35.795053,max_steps,1128.955416,0.623490,0.050000,,,
