episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
52,DQN,42,3.003534,7.826466,500,False,15,283,5.300353,4.699647,max_steps,290.776461,0.053265,0.382150,,,
53,DQN,42,-13.964311,5.639682,493,False,10,283,3.533569,4.522968,no_progress,296.631128,0.054232,0.377440,,,
54,DQN,42,17.137809,7.443322,500,False,19,283,6.713781,4.982332,max_steps,302.993614,0.050656,0.372789,,,
55,DQN,42,-6.098587,5.423180,273,False,6,283,2.120141,4.770318,no_progress,306.651072,0.043497,0.369207,,,
56,DQN,42,6.537102,4.536537,500,False,16,283,5.653710,4.805654,max_steps,313.593093,0.067459,0.365663,,,
57,DQN,42,-14.365724,1.032827,285,False,4,283,1.413428,4.240283,no_progress,317.115461,0.040493,0.362095,,,
58,DQN,42,17.403534,-0.000671,356,False,15,283,5.300353,3.992933,no_progress,321.476638,0.066132,0.359210,,,
59,DQN,42,17.137809,1.719541,500,False,19,283,6.713781,4.310954,max_steps,327.855102,0.046951,0.355388,,,
60,DQN,42,5.902120,2.262898,259,False,9,283,3.180212,4.346290,no_progress,331.530182,0.056258,0.352026,,,
61,DQN,42,0.669258,3.336254,382,False,11,283,3.886926,4.381625,no_progress,337.154503,0.052628,0.349204,,,
62,DQN,42,73.674912,10.403392,500,False,35,283,12.367491,5.088339,max_steps,343.655031,0.057760,0.345367,,,
63,DQN,42,15.637102,13.363534,409,False,16,283,5.653710,5.300353,no_progress,348.865869,0.076525,0.341469,,,
64,DQN,42,31.272085,14.776961,500,False,23,283,8.127208,5.441696,max_steps,355.036725,0.054441,0.337615,,,
65,DQN,42,27.738516,18.160671,500,False,22,283,7.773852,6.007067,max_steps,361.331123,0.058879,0.333421,,,
66,DQN,42,30.604947,20.567456,436,False,21,283,7.420495,6.183746,no_progress,367.089966,0.063887,0.329542,,,
67,DQN,42,4.235689,22.427597,311,False,10,283,3.533569,6.395760,no_progress,371.020738,0.067591,0.326474,,,
68,DQN,42,16.704240,22.357668,469,False,18,283,6.360424,6.501767,no_progress,376.922544,0.065666,0.323308,,,
69,DQN,42,2.202120,20.864099,296,False,9,283,3.180212,6.148410,no_progress,380.690943,0.072558,0.320234,,,
70,DQN,42,2.069258,20.480813,368,False,11,283,3.886926,6.219081,no_progress,385.323661,0.050404,0.317587,,,
71,DQN,42,-19.431449,18.470742,477,False,8,283,2.826855,6.113074,no_progress,397.304642,0.067556,0.314255,,,
72,DQN,42,10.702120,12.173463,211,False,9,283,3.180212,5.194346,no_progress,400.026740,0.059384,0.311562,,,
73,DQN,42,3.003534,10.910106,500,False,15,283,5.300353,5.159011,max_steps,406.397515,0.066773,0.308803,,,
74,DQN,42,30.638516,10.846749,471,False,22,283,7.773852,5.123675,no_progress,412.646082,0.071849,0.305073,,,
75,DQN,42,-8.298587,7.243039,295,False,6,283,2.120141,4.558304,no_progress,416.699942,0.060799,0.302172,,,
76,DQN,42,23.570671,6.539611,365,False,17,283,6.007067,4.416961,no_progress,421.192773,0.060646,0.299690,,,
77,DQN,42,34.805654,9.596608,500,False,24,283,8.480565,4.911661,max_steps,427.538785,0.065245,0.296457,,,
