episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
58,PPO,42,52.473498,31.272085,500,False,29,283,10.247350,8.127208,max_steps,169.778376,,,,,
59,PPO,42,34.805654,33.038869,500,False,24,283,8.480565,8.303887,max_steps,172.172387,,,,,
60,PPO,42,34.805654,34.805654,500,False,24,283,8.480565,8.480565,max_steps,174.553156,,,,,
61,PPO,42,59.540636,39.752650,500,False,31,283,10.954064,8.975265,max_steps,191.132490,0.064502,,-0.008329,0.576982,1.428298
62,PPO,42,38.539223,41.892792,498,False,25,283,8.833922,9.187279,no_progress,193.604336,,,,,
63,PPO,42,63.074205,45.073004,500,False,32,283,11.307420,9.505300,max_steps,196.175389,,,,,
64,PPO,42,80.742049,48.606572,500,False,37,283,13.074205,9.858657,max_steps,198.787030,,,,,
65,PPO,42,41.872792,47.193145,500,False,26,283,9.187279,9.717314,max_steps,201.512082,,,,,
66,PPO,42,73.674912,50.020000,500,False,35,283,12.367491,10.000000,max_steps,204.108455,,,,,
67,PPO,42,52.939223,53.246784,354,False,25,283,8.833922,10.176678,no_progress,205.857054,,,,,
68,PPO,42,70.141343,55.013569,500,False,34,283,12.014134,10.353357,max_steps,208.400266,,,,,
69,PPO,42,59.540636,57.487067,500,False,31,283,10.954064,10.600707,max_steps,221.205888,0.037497,,-0.008567,0.461796,1.387713
70,PPO,42,50.005654,59.007067,348,False,24,283,8.480565,10.600707,no_progress,222.819474,,,,,
71,PPO,42,81.874912,61.240495,418,False,35,283,12.367491,10.742049,no_progress,224.758597,,,,,
72,PPO,42,50.839223,62.470495,375,False,25,283,8.833922,10.742049,no_progress,226.718904,,,,,
73,PPO,42,54.306360,61.593710,411,False,27,283,9.540636,10.565371,no_progress,228.672159,,,,,
74,PPO,42,80.408481,61.560353,468,False,36,283,12.720848,10.530035,no_progress,230.810175,,,,,
75,PPO,42,80.742049,65.447279,500,False,37,283,13.074205,10.918728,max_steps,233.140134,,,,,
76,PPO,42,94.775618,67.557350,395,False,38,283,13.427562,11.024735,no_progress,234.947018,,,,,
77,PPO,42,77.208481,69.984276,500,False,36,283,12.720848,11.413428,max_steps,237.202496,,,,,
78,PPO,42,49.005654,67.870707,358,False,24,283,8.480565,11.060071,no_progress,238.828076,,,,,
79,PPO,42,50.006360,66.917279,454,False,27,283,9.540636,10.918728,no_progress,250.454429,0.024658,,-0.003425,0.384992,1.363302
80,PPO,42,44.504947,66.367208,297,False,21,283,7.420495,10.812721,no_progress,252.156573,,,,,
81,PPO,42,54.539223,63.633640,338,False,25,283,8.833922,10.459364,no_progress,253.836928,,,,,
82,PPO,42,92.108481,67.760565,351,False,36,283,12.720848,10.848057,no_progress,255.421403,,,,,
83,PPO,42,46.904947,67.020424,273,False,21,283,7.420495,10.636042,no_progress,256.716816,,,,,
84,PPO,42,41.637809,63.143357,255,False,19,283,6.713781,10.035336,no_progress,257.904788,,,,,
85,PPO,42,68.973498,61.966502,335,False,29,283,10.247350,9.752650,no_progress,259.474941,,,,,
86,PPO,42,41.372085,56.626148,399,False,23,283,8.127208,9.222615,no_progress,261.315218,,,,,
87,PPO,42,72.007067,56.106007,340,False,30,283,10.600707,9.010601,no_progress,262.924292,,,,,
88,PPO,42,75.974205,58.802862,371,False,32,283,11.307420,9.293286,no_progress,264.734498,,,,,
89,PPO,42,21.536396,55.955866,244,False,13,283,4.593640,8.798587,no_progress,265.925060,,,,,
90,PPO,42,75.140636,59.019435,344,False,31,283,10.954064,9.151943,no_progress,267.465465,,,,,
91,PPO,42,84.541343,62.019647,356,False,34,283,12.014134,9.469965,no_progress,278.676456,-0.019201,,-0.003580,0.209651,1.360663
92,PPO,42,96.542049,62.463004,342,False,37,283,13.074205,9.505300,no_progress,280.421430,,,,,
93,PPO,42,45.404947,62.313004,288,False,21,283,7.420495,9.505300,no_progress,281.762619,,,,,
94,PPO,42,57.272792,63.876502,346,False,26,283,9.187279,9.752650,no_progress,283.390909,,,,,
95,PPO,42,19.002827,58.879435,234,False,12,283,4.240283,9.151943,no_progress,284.479858,,,,,
96,PPO,42,78.308481,62.573074,489,False,36,283,12.720848,9.611307,no_progress,286.749311,,,,,
97,PPO,42,48.738516,60.246219,290,False,22,283,7.773852,9.328622,no_progress,288.040768,,,,,
98,PPO,42,91.908481,61.839647,353,False,36,283,12.720848,9.469965,no_progress,289.763743,,,,,
99,PPO,42,82.241343,67.910141,379,False,34,283,12.014134,10.212014,no_progress,291.766201,,,,,
100,PPO,42,89.842049,69.380283,409,False,37,283,13.074205,10.424028,no_progress,293.995240,,,,,
101,PPO,42,35.104240,64.436572,285,False,18,283,6.360424,9.858657,no_progress,295.371274,,,,,
102,PPO,42,100.709187,64.853286,371,False,39,283,13.780919,9.929329,no_progress,297.003451,,,,,
103,PPO,42,38.837809,64.196572,283,False,19,283,6.713781,9.858657,no_progress,298.269354,,,,,
104,PPO,42,95.742049,68.043498,350,False,37,283,13.074205,10.247350,no_progress,309.026666,-0.031804,,-0.007189,0.174617,1.365386
105,PPO,42,98.375618,75.980777,359,False,38,283,13.427562,11.166078,no_progress,310.746822,,,,,
106,PPO,42,35.504240,71.700353,281,False,18,283,6.360424,10.530035,no_progress,312.065164,,,,,
107,PPO,42,95.842049,76.410707,349,False,37,283,13.074205,11.060071,no_progress,313.892189,,,,,
108,PPO,42,59.172792,73.137138,327,False,26,283,9.187279,10.706714,no_progress,315.608878,,,,,
109,PPO,42,93.342049,74.247208,374,False,37,283,13.074205,10.812721,no_progress,317.456665,,,,,
110,PPO,42,42.871378,69.550141,278,False,20,283,7.067138,10.212014,no_progress,318.742059,,,,,
111,PPO,42,57.939223,71.833640,304,False,25,283,8.833922,10.459364,no_progress,320.342429,,,,,
112,PPO,42,91.408481,70.903569,358,False,36,283,12.720848,10.353357,no_progress,322.093383,,,,,
113,PPO,42,37.637809,70.783569,295,False,19,283,6.713781,10.353357,no_progress,323.436852,,,,,
