episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
1,DoubleDQN,42,-9.665724,-9.665724,238,False,4,283,1.413428,1.413428,no_progress,0.942417,,,,,
2,DoubleDQN,42,-10.365724,-10.015724,245,False,4,283,1.413428,1.413428,no_progress,1.876867,,,,,
3,DoubleDQN,42,-25.265018,-15.098822,500,False,7,283,2.473498,1.766784,max_steps,3.778503,,,,,
4,DoubleDQN,42,-4.199293,-12.373940,148,False,3,283,1.060071,1.590106,no_progress,5.609271,0.074464,0.998302,,,
5,DoubleDQN,42,-21.731449,-14.245442,500,False,8,283,2.826855,1.837456,max_steps,12.300533,0.055927,0.990452,,,
6,DoubleDQN,42,-13.032155,-14.043227,307,False,5,283,1.766784,1.825677,no_progress,16.797137,0.052852,0.980494,,,
7,DoubleDQN,42,-14.132155,-14.055931,318,False,5,283,1.766784,1.817264,no_progress,21.052180,0.038583,0.972827,,,
8,DoubleDQN,42,-18.598587,-14.623763,398,False,6,283,2.120141,1.855124,no_progress,26.207350,0.040601,0.964160,,,
9,DoubleDQN,42,-22.865018,-15.539458,476,False,7,283,2.473498,1.923832,no_progress,32.445676,0.032594,0.953709,,,
10,DoubleDQN,42,-20.598587,-16.045371,418,False,6,283,2.120141,1.943463,no_progress,37.872475,0.038220,0.943085,,,
11,DoubleDQN,42,-13.265724,-16.405371,274,False,4,283,1.413428,1.943463,no_progress,41.985220,0.043666,0.934960,,,
12,DoubleDQN,42,-22.098587,-17.578657,433,False,6,283,2.120141,2.014134,no_progress,47.740760,0.031783,0.926771,,,
13,DoubleDQN,42,-15.198587,-16.572014,364,False,6,283,2.120141,1.978799,no_progress,52.654199,0.035977,0.917593,,,
14,DoubleDQN,42,-21.731449,-18.325230,500,False,8,283,2.826855,2.155477,max_steps,59.343386,0.033688,0.907739,,,
15,DoubleDQN,42,-18.197880,-17.971873,500,False,9,283,3.180212,2.190813,max_steps,65.937753,0.032558,0.896462,,,
16,DoubleDQN,42,-21.731449,-18.841802,500,False,8,283,2.826855,2.296820,max_steps,72.546735,0.037685,0.885326,,,
17,DoubleDQN,42,-21.731449,-19.601731,500,False,8,283,2.826855,2.402827,max_steps,79.630989,0.038755,0.874328,,,
18,DoubleDQN,42,-21.731449,-19.915018,500,False,8,283,2.826855,2.473498,max_steps,86.469991,0.036540,0.863466,,,
19,DoubleDQN,42,-24.965018,-20.125018,497,False,7,283,2.473498,2.473498,no_progress,93.111912,0.027613,0.852739,,,
20,DoubleDQN,42,-18.197880,-19.884947,500,False,9,283,3.180212,2.579505,max_steps,99.802786,0.037726,0.842146,,,
21,DoubleDQN,42,-19.632155,-20.521590,373,False,5,283,1.766784,2.614841,no_progress,104.824621,0.034427,0.833013,,,
22,DoubleDQN,42,-18.197880,-20.131519,500,False,9,283,3.180212,2.720848,max_steps,111.536911,0.020340,0.823985,,,
23,DoubleDQN,42,-4.599293,-19.071590,152,False,3,283,1.060071,2.614841,no_progress,113.576945,0.038857,0.817291,,,
24,DoubleDQN,42,-6.499293,-17.548375,171,False,3,283,1.060071,2.438163,no_progress,115.856305,0.034167,0.813988,,,
25,DoubleDQN,42,-15.698587,-17.298445,369,False,6,283,2.120141,2.332155,no_progress,120.961537,0.021106,0.808514,,,
26,DoubleDQN,42,-12.032155,-16.328516,297,False,5,283,1.766784,2.226148,no_progress,125.002061,0.040148,0.801830,,,
27,DoubleDQN,42,-21.731449,-16.328516,500,False,8,283,2.826855,2.226148,max_steps,131.737219,0.038972,0.793894,,,
28,DoubleDQN,42,-4.099293,-14.565300,147,False,3,283,1.060071,2.049470,no_progress,133.799654,0.036006,0.787485,,,
